abstract,field,search_word,title
"  Clustering is a fundamental primitive in unsupervised learning which gives
rise to a rich class of computationally-challenging inference tasks. In this
work, we focus on the canonical task of clustering $d$-dimensional Gaussian
mixtures with unknown (and possibly degenerate) covariance. Recent works (Ghosh
et al.\ '20; Mao, Wein '21; Davis, Diaz, Wang '21) have established lower
bounds against the class of low-degree polynomial methods and the
sum-of-squares (SoS) hierarchy for recovering certain hidden structures planted
in Gaussian clustering instances. Prior work on many similar inference tasks
portends that such lower bounds strongly suggest the presence of an inherent
statistical-to-computational gap for clustering, that is, a parameter regime
where the clustering task is \textit{statistically} possible but no
\textit{polynomial-time} algorithm succeeds.
", Machine Learning,unsupervised learning,Lattice-Based Methods Surpass Sum-of-Squares in Clustering
"  Employing unmanned aerial vehicles (UAVs) has attracted growing interests and
emerged as the state-of-the-art technology for data collection in
Internet-of-Things (IoT) networks. In this paper, with the objective of
minimizing the total energy consumption of the UAV-IoT system, we formulate the
problem of jointly designing the UAV's trajectory and selecting cluster heads
in the IoT network as a constrained combinatorial optimization problem which is
classified as NP-hard and challenging to solve. We propose a novel deep
reinforcement learning (DRL) with a sequential model strategy that can
effectively learn the policy represented by a sequence-to-sequence neural
network for the UAV's trajectory design in an unsupervised manner. Through
extensive simulations, the obtained results show that the proposed DRL method
can find the UAV's trajectory that requires much less energy consumption when
compared to other baseline algorithms and achieves close-to-optimal
performance. In addition, simulation results show that the trained model by our
proposed DRL algorithm has an excellent generalization ability to larger
problem sizes without the need to retrain the model.

    ", Systems and Control,unsupervised learning,Joint Cluster Head Selection and Trajectory Planning in UAV-Aided IoT Networks by Reinforcement Learning with Sequential Model
"  The capability of accurate prediction of protein functions and properties is
essential in the biotechnology industry, e.g. drug development and artificial
protein synthesis, etc. The main challenges of protein function prediction are
the large label space and the lack of labeled training data. Our method
leverages unsupervised sequence embedding and the success of deep convolutional
neural network to overcome these challenges. In contrast, most of the existing
methods delete the rare protein functions to reduce the label space.
Furthermore, some existing methods require additional bio-information (e.g.,
the 3-dimensional structure of the proteins) which is difficult to be
determined in biochemical experiments. Our proposed method significantly
outperforms the other methods on the publicly available benchmark using only
protein sequences as input. This allows the process of identifying protein
functions to be sped up.

    ", Quantitative Methods,unsupervised learning,Leveraging Sequence Embedding and Convolutional Neural Network for Protein Function Prediction
"  Categorical attributes are those that can take a discrete set of values,
e.g., colours. This work is about compressing vectors over categorical
attributes to low-dimension discrete vectors. The current hash-based methods
compressing vectors over categorical attributes to low-dimension discrete
vectors do not provide any guarantee on the Hamming distances between the
compressed representations. Here we present FSketch to create sketches for
sparse categorical data and an estimator to estimate the pairwise Hamming
distances among the uncompressed data only from their sketches. We claim that
these sketches can be used in the usual data mining tasks in place of the
original data without compromising the quality of the task. For that, we ensure
that the sketches also are categorical, sparse, and the Hamming distance
estimates are reasonably precise. Both the sketch construction and the Hamming
distance estimation algorithms require just a single-pass; furthermore, changes
to a data point can be incorporated into its sketch in an efficient manner. The
compressibility depends upon how sparse the data is and is independent of the
original dimension -- making our algorithm attractive for many real-life
scenarios. Our claims are backed by rigorous theoretical analysis of the
properties of FSketch and supplemented by extensive comparative evaluations
with related algorithms on some real-world datasets. We show that FSketch is
significantly faster, and the accuracy obtained by using its sketches are among
the top for the standard unsupervised tasks of RMSE, clustering and similarity
search.

    ", Machine Learning,unsupervised learning,Dimensionality Reduction for Categorical Data
"  Domain adaptation is crucial to adapt a learned model to new scenarios, such
as domain shifts or changing data distributions. Current approaches usually
require a large amount of labeled or unlabeled data from the shifted domain.
This can be a hurdle in fields which require continuous dynamic adaptation or
suffer from scarcity of data, e.g. autonomous driving in challenging weather
conditions. To address this problem of continuous adaptation to distribution
shifts, we propose Dynamic Unsupervised Adaptation (DUA). We modify the feature
representations of the model by continuously adapting the statistics of the
batch normalization layers. We show that by accessing only a tiny fraction of
unlabeled data from the shifted domain and adapting sequentially, a strong
performance gain can be achieved. With even less than 1% of unlabeled data from
the target domain, DUA already achieves competitive results to strong
baselines. In addition, the computational overhead is minimal in contrast to
previous approaches. Our approach is simple, yet effective and can be applied
to any architecture which uses batch normalization as one of its components. We
show the utility of DUA by evaluating it on a variety of domain adaptation
datasets and tasks including object recognition, digit recognition and object
detection.

    ", Computer Vision and Pattern Recognition,unsupervised learning,The Norm Must Go On: Dynamic Unsupervised Domain Adaptation by Normalization

"  Solving high-dimensional partial differential equations is a recurrent
challenge in economics, science and engineering. In recent years, a great
number of computational approaches have been developed, most of them relying on
a combination of Monte Carlo sampling and deep learning based approximation.
For elliptic and parabolic problems, existing methods can broadly be classified
into those resting on reformulations in terms of $\textit{backward stochastic
differential equations}$ (BSDEs) and those aiming to minimize a regression-type
$L^2$-error ($\textit{physics-informed neural networks}$, PINNs). In this
paper, we review the literature and suggest a methodology based on the novel
$\textit{diffusion loss}$ that interpolates between BSDEs and PINNs. Our
contribution opens the door towards a unified understanding of numerical
approaches for high-dimensional PDEs, as well as for implementations that
combine the strengths of BSDEs and PINNs. We also provide generalizations to
eigenvalue problems and perform extensive numerical studies, including
calculations of the ground state for nonlinear Schrödinger operators and
committor functions relevant in molecular dynamics.

    ", Numerical Analysis,recurrent neural networks,Interpolating between BSDEs and PINNs -- deep learning for elliptic and parabolic boundary value problems
"  The ATLAS experiment at CERN measures energy of proton-proton (p-p)
collisions with a repetition frequency of 40 MHz at the Large Hadron Collider
(LHC). The readout electronics of liquid-argon (LAr) calorimeters are being
prepared for high luminosity-LHC (HL-LHC) operation as part of the phase-II
upgrade, anticipating a pileup of up to 200 simultaneous p-p interactions. The
increase of the number of p-p interactions implies that calorimeter signals of
up to 25 consecutive collisions overlap, making energy reconstruction more
challenging.
", Instrumentation and Detectors,recurrent neural networks,Machine Learning for Real-Time Processing of ATLAS Liquid Argon Calorimeter Signals with FPGAs
"  Timely handgun detection is a crucial problem to improve public safety;
nevertheless, the effectiveness of many surveillance systems still depends of
finite human attention. Much of the previous research on handgun detection is
based on static image detectors, leaving aside valuable temporal information
that could be used to improve object detection in videos. To improve the
performance of surveillance systems, a real-time temporal handgun detection
system should be built. Using Temporal Yolov5, an architecture based on
Quasi-Recurrent Neural Networks, temporal information is extracted from video
to improve the results of handgun detection. Moreover, two publicly available
datasets are proposed, labeled with hands, guns, and phones. One containing
2199 static images to train static detectors, and another with 5960 frames of
videos to train temporal modules. Additionally, we explore two temporal data
augmentation techniques based on Mosaic and Mixup. The resulting systems are
three temporal architectures: one focused in reducing inference with a
mAP$_{50:95}$ of 55.9, another in having a good balance between inference and
accuracy with a mAP$_{50:95}$ of 59, and a last one specialized in accuracy
with a mAP$_{50:95}$ of 60.2. Temporal Yolov5 achieves real-time detection in
the small and medium architectures. Moreover, it takes advantage of temporal
features contained in videos to perform better than Yolov5 in our temporal
dataset, making TYolov5 suitable for real-world applications. The source code
is publicly available at ", Computer Vision and Pattern Recognition,recurrent neural networks,TYolov5: A Temporal Yolov5 Detector Based on Quasi-Recurrent Neural Networks for Real-Time Handgun Detection in Video
"  Climate change is posing new challenges to crop-related concerns including
food insecurity, supply stability and economic planning. As one of the central
challenges, crop yield prediction has become a pressing task in the machine
learning field. Despite its importance, the prediction task is exceptionally
complicated since crop yields depend on various factors such as weather, land
surface, soil quality as well as their interactions. In recent years, machine
learning models have been successfully applied in this domain. However, these
models either restrict their tasks to a relatively small region, or only study
over a single or few years, which makes them hard to generalize spatially and
temporally. In this paper, we introduce a novel graph-based recurrent neural
network for crop yield prediction, to incorporate both geographical and
temporal knowledge in the model, and further boost predictive power. Our method
is trained, validated, and tested on over 2000 counties from 41 states in the
US mainland, covering years from 1981 to 2019. As far as we know, this is the
first machine learning method that embeds geographical knowledge in crop yield
prediction and predicts the crop yields at county level nationwide. We also
laid a solid foundation for the comparison with other machine learning
baselines by applying well-known linear models, tree-based models, deep
learning methods and comparing their performance. Experiments show that our
proposed method consistently outperforms the existing state-of-the-art methods
on various metrics, validating the effectiveness of geospatial and temporal
information.

    ", Machine Learning,recurrent neural networks,A GNN-RNN Approach for Harnessing Geospatial and Temporal Information: Application to Crop Yield Prediction
